Dataset,input_complex,input_f1,input_f1v,input_f2,input_f3,input_f4,input_l1,input_l2,input_l3,input_n1,input_n2,input_n3,input_n4,input_t1,input_lsc,input_density,input_clsCoef,input_hubs,input_t2,input_t3,input_t4,input_c1,input_c2
D615,0.347,0.129,0.067,0.413,0.934,0.813,0.176,0.055,0.054,0.057,0.361,0.106,0.063,0.418,0.971,0.963,0.517,0.906,0.015,0.009,0.6,0.002,0.006
D616,0.384,0.24,0.135,0.275,0.984,0.913,0.293,0.1,0.099,0.096,0.399,0.185,0.1,0.615,0.987,0.967,0.535,0.907,0.015,0.009,0.6,0.0,0.0
D617,0.133,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.082,0.0,0.0,0.004,0.5,0.856,0.384,0.762,0.015,0.004,0.3,0.0,0.0
D618,0.178,0.038,0.013,0.017,0.266,0.001,0.071,0.01,0.018,0.011,0.134,0.015,0.009,0.124,0.817,0.868,0.399,0.795,0.015,0.004,0.3,0.0,0.001
D619,0.297,0.13,0.063,0.137,0.837,0.572,0.309,0.055,0.055,0.054,0.368,0.099,0.039,0.419,0.977,0.888,0.415,0.8,0.015,0.004,0.3,0.001,0.002
D62,0.459,0.795,0.432,0.012,0.964,0.552,0.161,0.281,0.233,0.118,0.455,0.221,0.149,0.976,0.984,0.995,0.9,0.966,0.06,0.048,0.8,0.0,0.001
D620,0.345,0.211,0.111,0.207,0.967,0.815,0.373,0.093,0.087,0.078,0.395,0.152,0.093,0.582,0.986,0.893,0.417,0.808,0.015,0.004,0.3,0.0,0.001
D621,0.154,0.04,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.149,0.003,0.0,0.015,0.748,0.909,0.337,0.854,0.015,0.004,0.3,0.0,0.001
D622,0.229,0.06,0.028,0.041,0.773,0.355,0.036,0.009,0.007,0.016,0.19,0.027,0.009,0.115,0.924,0.914,0.344,0.864,0.015,0.004,0.3,0.001,0.003
D623,0.319,0.18,0.094,0.195,0.961,0.794,0.224,0.066,0.067,0.062,0.347,0.124,0.082,0.41,0.976,0.92,0.335,0.852,0.015,0.004,0.3,0.0,0.0
D624,0.341,0.225,0.123,0.176,0.964,0.885,0.281,0.084,0.085,0.078,0.38,0.154,0.085,0.519,0.984,0.925,0.362,0.865,0.015,0.004,0.3,0.0,0.001
D625,0.184,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.198,0.0,0.0,0.006,0.5,0.978,0.687,0.92,0.03,0.021,0.7,0.001,0.002
D626,0.262,0.022,0.01,0.026,0.472,0.0,0.027,0.009,0.003,0.007,0.269,0.013,0.004,0.419,0.823,0.997,0.931,0.97,0.03,0.021,0.7,0.0,0.001
D627,0.393,0.137,0.07,0.068,0.957,0.824,0.23,0.063,0.061,0.069,0.437,0.13,0.057,0.936,0.981,0.997,0.934,0.951,0.03,0.021,0.7,0.0,0.0
D628,0.405,0.242,0.131,0.05,0.946,0.83,0.329,0.109,0.093,0.104,0.451,0.197,0.082,0.988,0.988,0.978,0.71,0.921,0.03,0.021,0.7,0.0,0.0
D629,0.216,0.011,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.289,0.0,0.0,0.179,0.745,0.992,0.786,0.95,0.03,0.022,0.75,0.0,0.0
D63,0.465,0.785,0.415,0.017,0.97,0.561,0.17,0.269,0.245,0.145,0.46,0.29,0.143,0.988,0.986,0.995,0.922,0.955,0.06,0.048,0.8,0.0,0.0
D630,0.273,0.024,0.012,0.028,0.627,0.166,0.02,0.006,0.006,0.008,0.311,0.015,0.006,0.37,0.875,0.991,0.784,0.947,0.03,0.022,0.75,0.001,0.002
D631,0.349,0.079,0.04,0.074,0.933,0.739,0.096,0.033,0.022,0.029,0.404,0.057,0.045,0.742,0.965,0.984,0.702,0.94,0.03,0.022,0.75,0.0,0.0
D632,0.403,0.224,0.12,0.047,0.927,0.791,0.242,0.096,0.106,0.079,0.443,0.164,0.072,0.949,0.986,0.995,0.861,0.959,0.03,0.022,0.75,0.0,0.001
D633,0.176,0.015,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.166,0.0,0.0,0.003,0.5,0.97,0.661,0.907,0.03,0.018,0.6,0.0,0.0
D634,0.263,0.043,0.015,0.027,0.581,0.085,0.065,0.013,0.016,0.011,0.378,0.022,0.009,0.469,0.901,0.97,0.653,0.882,0.03,0.018,0.6,0.0,0.0
D635,0.354,0.124,0.059,0.043,0.928,0.678,0.217,0.054,0.054,0.052,0.43,0.109,0.045,0.91,0.977,0.968,0.642,0.901,0.03,0.016,0.55,0.0,0.0
D636,0.405,0.252,0.131,0.058,0.967,0.861,0.422,0.107,0.104,0.1,0.448,0.193,0.094,0.984,0.989,0.979,0.718,0.908,0.03,0.016,0.55,0.0,0.001
D637,0.2,0.042,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.254,0.0,0.0,0.061,0.756,0.989,0.734,0.953,0.03,0.016,0.55,0.0,0.0
D638,0.273,0.056,0.025,0.015,0.76,0.334,0.028,0.007,0.007,0.012,0.296,0.022,0.012,0.251,0.872,0.99,0.767,0.95,0.03,0.016,0.55,0.001,0.001
D639,0.347,0.131,0.065,0.038,0.912,0.722,0.129,0.043,0.042,0.042,0.408,0.084,0.037,0.776,0.973,0.985,0.7,0.944,0.03,0.016,0.55,0.0,0.0
D64,0.492,0.87,0.532,0.03,0.964,0.669,0.196,0.34,0.301,0.166,0.466,0.328,0.194,0.985,0.989,0.996,0.911,0.969,0.06,0.048,0.8,0.0,0.001
D640,0.402,0.266,0.148,0.035,0.933,0.807,0.31,0.103,0.115,0.099,0.442,0.201,0.101,0.94,0.989,0.993,0.805,0.968,0.03,0.016,0.55,0.0,0.001
D641,0.386,0.45,0.244,0.087,0.851,0.721,0.076,0.158,0.111,0.114,0.406,0.222,0.093,0.692,0.984,0.974,0.594,0.899,0.007,0.006,0.8,0.0,0.0
D642,0.396,0.454,0.244,0.071,0.903,0.811,0.075,0.154,0.118,0.114,0.412,0.227,0.113,0.727,0.992,0.978,0.612,0.899,0.007,0.006,0.8,0.0,0.0
D643,0.425,0.507,0.287,0.172,0.975,0.94,0.104,0.169,0.133,0.126,0.43,0.254,0.122,0.81,0.996,0.981,0.626,0.911,0.007,0.006,0.8,0.0,0.0
D644,0.456,0.603,0.386,0.208,0.993,0.971,0.146,0.231,0.186,0.168,0.442,0.322,0.184,0.861,0.997,0.98,0.626,0.913,0.007,0.006,0.8,0.0,0.0
D645,0.409,0.403,0.247,0.101,0.949,0.882,0.07,0.142,0.118,0.141,0.436,0.276,0.125,0.855,0.997,0.967,0.567,0.901,0.007,0.006,0.8,0.0,0.001
D646,0.415,0.418,0.26,0.141,0.957,0.89,0.071,0.141,0.103,0.144,0.437,0.261,0.122,0.886,0.997,0.978,0.604,0.913,0.007,0.006,0.8,0.0,0.001
D647,0.427,0.479,0.311,0.144,0.951,0.919,0.091,0.176,0.157,0.153,0.441,0.289,0.159,0.9,0.997,0.965,0.556,0.891,0.007,0.006,0.8,0.001,0.003
D648,0.451,0.565,0.386,0.183,0.984,0.963,0.111,0.21,0.185,0.173,0.448,0.343,0.197,0.911,0.997,0.972,0.589,0.9,0.007,0.006,0.8,0.001,0.001
D649,0.377,0.679,0.22,0.139,0.932,0.831,0.065,0.172,0.116,0.06,0.374,0.118,0.072,0.524,0.982,0.947,0.493,0.848,0.007,0.005,0.7,0.0,0.0
D65,0.21,0.11,0.056,0.002,0.033,0.0,0.0,0.003,0.0,0.01,0.293,0.021,0.003,0.14,0.75,0.947,0.545,0.858,0.03,0.024,0.8,0.001,0.001
D650,0.38,0.685,0.23,0.135,0.932,0.859,0.067,0.172,0.135,0.069,0.379,0.125,0.081,0.531,0.985,0.94,0.473,0.843,0.007,0.005,0.7,0.0,0.0
D651,0.415,0.741,0.308,0.228,0.993,0.948,0.105,0.21,0.163,0.094,0.403,0.178,0.106,0.666,0.994,0.948,0.487,0.851,0.007,0.005,0.7,0.0,0.001
D652,0.437,0.782,0.386,0.19,0.98,0.94,0.125,0.249,0.216,0.131,0.422,0.257,0.172,0.771,0.996,0.942,0.477,0.849,0.007,0.005,0.7,0.001,0.003
D653,0.429,0.682,0.455,0.108,0.952,0.886,0.22,0.292,0.24,0.09,0.393,0.164,0.121,0.654,0.988,0.957,0.53,0.886,0.007,0.006,0.8,0.0,0.0
D654,0.44,0.723,0.483,0.151,0.963,0.908,0.229,0.295,0.232,0.1,0.4,0.193,0.143,0.669,0.991,0.963,0.546,0.875,0.007,0.006,0.8,0.001,0.002
D655,0.453,0.751,0.54,0.121,0.951,0.913,0.246,0.301,0.251,0.116,0.414,0.219,0.157,0.743,0.994,0.97,0.563,0.906,0.007,0.006,0.8,0.0,0.0
D656,0.48,0.786,0.567,0.212,0.988,0.954,0.254,0.331,0.284,0.163,0.433,0.322,0.211,0.843,0.997,0.964,0.544,0.899,0.007,0.006,0.8,0.0,0.0
D657,0.422,0.432,0.219,0.016,0.852,0.641,0.066,0.151,0.105,0.149,0.464,0.299,0.117,0.968,0.993,0.999,0.955,0.986,0.015,0.013,0.85,0.0,0.0
D658,0.434,0.439,0.235,0.049,0.909,0.749,0.077,0.163,0.119,0.148,0.462,0.296,0.125,0.978,0.994,0.999,0.945,0.982,0.015,0.013,0.85,0.0,0.0
D659,0.456,0.514,0.308,0.043,0.964,0.901,0.108,0.199,0.151,0.169,0.469,0.343,0.141,0.993,0.997,0.997,0.882,0.977,0.015,0.013,0.85,0.0,0.0
D66,0.224,0.111,0.054,0.01,0.206,0.006,0.003,0.006,0.0,0.013,0.294,0.021,0.003,0.149,0.744,0.963,0.599,0.896,0.03,0.024,0.8,0.002,0.005
D660,0.484,0.612,0.403,0.122,0.996,0.947,0.144,0.241,0.209,0.201,0.474,0.393,0.199,0.995,0.998,0.996,0.863,0.97,0.015,0.013,0.85,0.001,0.001
D661,0.448,0.425,0.265,0.042,0.951,0.896,0.073,0.149,0.113,0.178,0.474,0.357,0.168,0.997,0.998,0.998,0.926,0.974,0.015,0.013,0.85,0.0,0.0
D662,0.444,0.431,0.271,0.029,0.947,0.866,0.075,0.148,0.126,0.181,0.475,0.349,0.178,0.996,0.998,0.996,0.86,0.966,0.015,0.013,0.85,0.0,0.0
D663,0.467,0.496,0.317,0.091,0.991,0.938,0.09,0.174,0.151,0.204,0.477,0.392,0.184,0.996,0.998,0.998,0.927,0.98,0.015,0.013,0.85,0.0,0.001
D664,0.472,0.568,0.385,0.063,0.975,0.91,0.111,0.209,0.177,0.201,0.478,0.406,0.208,0.999,0.998,0.996,0.86,0.965,0.015,0.013,0.85,0.001,0.002
D665,0.431,0.686,0.225,0.032,0.945,0.834,0.064,0.174,0.132,0.11,0.456,0.222,0.113,0.963,0.994,0.989,0.738,0.93,0.015,0.013,0.85,0.0,0.0
D666,0.433,0.661,0.225,0.034,0.957,0.841,0.066,0.184,0.134,0.112,0.457,0.216,0.103,0.972,0.995,0.991,0.754,0.938,0.015,0.013,0.85,0.0,0.0
D667,0.455,0.731,0.293,0.058,0.966,0.876,0.097,0.21,0.178,0.144,0.463,0.287,0.149,0.988,0.996,0.992,0.762,0.941,0.015,0.013,0.85,0.0,0.0
D668,0.476,0.791,0.377,0.101,0.996,0.943,0.124,0.24,0.2,0.167,0.467,0.328,0.186,0.99,0.997,0.99,0.761,0.933,0.015,0.013,0.85,0.0,0.0
D669,0.464,0.681,0.439,0.036,0.948,0.866,0.207,0.269,0.204,0.139,0.46,0.268,0.147,0.966,0.994,0.991,0.761,0.944,0.015,0.013,0.85,0.0,0.0
D67,0.357,0.232,0.121,0.199,0.94,0.86,0.109,0.078,0.093,0.06,0.37,0.122,0.06,0.484,0.948,0.939,0.539,0.856,0.03,0.024,0.8,0.0,0.001
D670,0.471,0.693,0.454,0.031,0.949,0.888,0.212,0.277,0.219,0.147,0.461,0.287,0.181,0.97,0.996,0.992,0.783,0.947,0.015,0.013,0.85,0.0,0.0
D671,0.485,0.76,0.532,0.022,0.978,0.899,0.238,0.292,0.25,0.16,0.468,0.316,0.172,0.993,0.997,0.992,0.779,0.948,0.015,0.013,0.85,0.0,0.0
D672,0.503,0.805,0.595,0.042,0.987,0.92,0.265,0.34,0.305,0.178,0.471,0.35,0.207,0.989,0.997,0.993,0.791,0.944,0.015,0.013,0.85,0.0,0.001
D673,0.28,0.166,0.074,0.034,0.581,0.322,0.01,0.024,0.007,0.026,0.33,0.05,0.012,0.316,0.918,0.975,0.598,0.901,0.007,0.006,0.8,0.0,0.0
D674,0.32,0.177,0.079,0.079,0.811,0.749,0.019,0.029,0.014,0.028,0.355,0.054,0.015,0.38,0.976,0.973,0.598,0.893,0.007,0.006,0.8,0.0,0.0
D675,0.37,0.246,0.12,0.202,0.975,0.94,0.078,0.069,0.066,0.058,0.395,0.116,0.043,0.561,0.99,0.973,0.594,0.897,0.007,0.006,0.8,0.0,0.0
D676,0.411,0.366,0.205,0.239,0.993,0.963,0.151,0.13,0.109,0.107,0.419,0.206,0.104,0.725,0.995,0.98,0.624,0.912,0.007,0.006,0.8,0.0,0.0
D677,0.296,0.144,0.077,0.039,0.51,0.385,0.022,0.054,0.033,0.049,0.376,0.091,0.031,0.508,0.983,0.962,0.543,0.894,0.007,0.006,0.8,0.0,0.001
D678,0.321,0.15,0.081,0.083,0.778,0.537,0.025,0.054,0.033,0.053,0.381,0.108,0.022,0.507,0.986,0.973,0.568,0.916,0.007,0.006,0.8,0.0,0.001
D679,0.366,0.227,0.127,0.148,0.926,0.88,0.063,0.097,0.068,0.077,0.399,0.152,0.058,0.626,0.991,0.962,0.534,0.898,0.007,0.006,0.8,0.001,0.003
D68,0.365,0.267,0.146,0.092,0.86,0.755,0.143,0.11,0.066,0.084,0.389,0.173,0.125,0.606,0.965,0.951,0.562,0.874,0.03,0.024,0.8,0.004,0.011
D680,0.409,0.343,0.205,0.212,0.984,0.963,0.114,0.138,0.11,0.124,0.423,0.249,0.114,0.761,0.995,0.97,0.568,0.915,0.007,0.006,0.8,0.001,0.001
D681,0.282,0.351,0.067,0.036,0.78,0.392,0.005,0.022,0.004,0.021,0.313,0.041,0.01,0.281,0.936,0.932,0.466,0.833,0.007,0.005,0.7,0.0,0.0
D682,0.301,0.356,0.071,0.063,0.852,0.672,0.012,0.031,0.012,0.026,0.319,0.049,0.01,0.275,0.95,0.93,0.456,0.829,0.007,0.005,0.7,0.0,0.0
D683,0.362,0.449,0.138,0.173,0.975,0.894,0.083,0.08,0.06,0.069,0.379,0.138,0.067,0.515,0.99,0.934,0.465,0.836,0.007,0.005,0.7,0.0,0.001
D684,0.39,0.53,0.21,0.12,0.963,0.91,0.129,0.138,0.128,0.104,0.406,0.209,0.114,0.678,0.995,0.931,0.461,0.837,0.007,0.005,0.7,0.001,0.003
D685,0.333,0.399,0.191,0.042,0.772,0.645,0.107,0.144,0.089,0.046,0.336,0.084,0.057,0.408,0.954,0.955,0.509,0.876,0.007,0.005,0.7,0.0,0.0
D686,0.357,0.432,0.203,0.073,0.896,0.792,0.123,0.146,0.107,0.051,0.347,0.094,0.085,0.44,0.974,0.962,0.532,0.884,0.007,0.005,0.7,0.001,0.002
D687,0.389,0.496,0.265,0.088,0.934,0.887,0.173,0.172,0.124,0.079,0.388,0.144,0.098,0.599,0.991,0.969,0.548,0.898,0.007,0.005,0.7,0.0,0.0
D688,0.428,0.577,0.331,0.18,0.978,0.94,0.22,0.211,0.169,0.137,0.418,0.269,0.143,0.746,0.996,0.965,0.537,0.885,0.007,0.005,0.7,0.0,0.0
D689,0.308,0.159,0.067,0.007,0.413,0.125,0.006,0.019,0.006,0.043,0.425,0.081,0.015,0.816,0.956,0.994,0.81,0.952,0.015,0.013,0.85,0.0,0.0
D69,0.226,0.092,0.045,0.01,0.069,0.027,0.005,0.021,0.006,0.015,0.309,0.024,0.015,0.242,0.869,0.971,0.583,0.915,0.03,0.021,0.7,0.001,0.001
D690,0.343,0.167,0.075,0.042,0.624,0.414,0.018,0.03,0.013,0.05,0.429,0.101,0.024,0.893,0.975,0.996,0.849,0.965,0.015,0.013,0.85,0.0,0.0
D691,0.41,0.272,0.142,0.051,0.964,0.901,0.093,0.089,0.078,0.09,0.451,0.183,0.066,0.972,0.993,0.996,0.849,0.955,0.015,0.013,0.85,0.0,0.0
D692,0.442,0.382,0.22,0.13,0.996,0.943,0.148,0.139,0.121,0.137,0.462,0.266,0.104,0.988,0.996,0.996,0.849,0.971,0.015,0.013,0.85,0.001,0.001
D693,0.35,0.155,0.083,0.017,0.545,0.431,0.023,0.057,0.031,0.069,0.451,0.133,0.03,0.98,0.994,0.997,0.873,0.958,0.015,0.013,0.85,0.0,0.0
D694,0.357,0.158,0.085,0.012,0.617,0.471,0.025,0.059,0.041,0.075,0.453,0.143,0.025,0.984,0.994,0.997,0.872,0.965,0.015,0.013,0.85,0.0,0.0
D695,0.418,0.252,0.14,0.102,0.991,0.938,0.071,0.098,0.078,0.107,0.459,0.203,0.082,0.99,0.996,0.996,0.852,0.97,0.015,0.013,0.85,0.0,0.001
D696,0.433,0.342,0.202,0.069,0.961,0.898,0.112,0.147,0.129,0.13,0.465,0.26,0.1,0.995,0.996,0.997,0.876,0.969,0.015,0.013,0.85,0.001,0.002
D697,0.347,0.349,0.066,0.012,0.807,0.476,0.004,0.019,0.009,0.037,0.423,0.075,0.019,0.818,0.977,0.989,0.737,0.93,0.015,0.013,0.85,0.0,0.0
D698,0.366,0.342,0.072,0.017,0.901,0.654,0.014,0.037,0.013,0.053,0.428,0.1,0.025,0.856,0.983,0.989,0.744,0.936,0.015,0.013,0.85,0.0,0.0
D699,0.408,0.448,0.137,0.044,0.946,0.845,0.078,0.093,0.08,0.09,0.447,0.178,0.07,0.964,0.993,0.99,0.749,0.936,0.015,0.013,0.85,0.0,0.0
D7,0.439,0.682,0.476,0.05,0.878,0.645,0.145,0.281,0.275,0.154,0.432,0.275,0.197,0.854,0.987,0.968,0.608,0.891,0.03,0.024,0.8,0.0,0.0
D70,0.242,0.095,0.047,0.022,0.421,0.003,0.009,0.015,0.009,0.012,0.309,0.018,0.021,0.212,0.882,0.975,0.593,0.919,0.03,0.021,0.7,0.001,0.004
D700,0.439,0.548,0.213,0.096,0.996,0.937,0.133,0.138,0.125,0.122,0.456,0.248,0.111,0.98,0.995,0.989,0.754,0.93,0.015,0.013,0.85,0.0,0.0
D701,0.377,0.396,0.184,0.017,0.777,0.604,0.104,0.129,0.076,0.07,0.427,0.135,0.053,0.799,0.972,0.991,0.747,0.941,0.015,0.013,0.85,0.0,0.0
D702,0.403,0.406,0.194,0.019,0.951,0.845,0.115,0.139,0.075,0.077,0.435,0.158,0.07,0.872,0.986,0.988,0.735,0.93,0.015,0.013,0.85,0.0,0.0
D703,0.433,0.517,0.275,0.014,0.945,0.854,0.181,0.177,0.116,0.114,0.454,0.225,0.119,0.962,0.995,0.992,0.756,0.944,0.015,0.013,0.85,0.0,0.0
D704,0.456,0.583,0.339,0.032,0.968,0.889,0.216,0.229,0.187,0.14,0.461,0.287,0.154,0.982,0.996,0.992,0.757,0.937,0.015,0.013,0.85,0.0,0.001
D705,0.186,0.047,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.001,0.21,0.001,0.0,0.035,0.651,0.963,0.563,0.88,0.007,0.005,0.7,0.0,0.0
D706,0.28,0.061,0.026,0.092,0.811,0.677,0.023,0.008,0.007,0.008,0.29,0.014,0.012,0.105,0.922,0.959,0.564,0.876,0.007,0.005,0.7,0.0,0.0
D707,0.343,0.13,0.064,0.228,0.975,0.938,0.118,0.04,0.04,0.039,0.372,0.081,0.036,0.394,0.984,0.96,0.556,0.875,0.007,0.005,0.7,0.0,0.0
D708,0.389,0.255,0.14,0.265,0.993,0.964,0.236,0.095,0.1,0.091,0.408,0.174,0.087,0.618,0.993,0.967,0.574,0.891,0.007,0.005,0.7,0.0,0.0
D709,0.195,0.04,0.02,0.0,0.001,0.0,0.0,0.0,0.0,0.003,0.261,0.006,0.001,0.082,0.841,0.952,0.476,0.894,0.007,0.005,0.7,0.0,0.001
D71,0.348,0.207,0.11,0.086,0.842,0.696,0.101,0.081,0.066,0.069,0.378,0.137,0.057,0.579,0.969,0.98,0.626,0.928,0.03,0.021,0.7,0.0,0.0
D710,0.266,0.044,0.022,0.132,0.778,0.488,0.004,0.002,0.002,0.006,0.269,0.013,0.004,0.088,0.892,0.962,0.511,0.91,0.007,0.005,0.7,0.0,0.001
D711,0.333,0.126,0.067,0.197,0.926,0.873,0.084,0.044,0.046,0.043,0.362,0.082,0.043,0.39,0.982,0.957,0.488,0.907,0.007,0.005,0.7,0.001,0.003
D712,0.386,0.247,0.14,0.261,0.984,0.963,0.177,0.097,0.091,0.092,0.405,0.194,0.097,0.651,0.993,0.962,0.505,0.914,0.007,0.005,0.7,0.001,0.001
D713,0.181,0.12,0.018,0.001,0.158,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.042,0.707,0.903,0.422,0.8,0.007,0.004,0.6,0.0,0.0
D714,0.237,0.126,0.022,0.032,0.712,0.434,0.01,0.004,0.001,0.004,0.226,0.008,0.004,0.061,0.85,0.901,0.414,0.799,0.007,0.004,0.6,0.0,0.0
D715,0.325,0.23,0.081,0.137,0.934,0.863,0.134,0.052,0.05,0.05,0.36,0.101,0.046,0.39,0.985,0.908,0.415,0.808,0.007,0.004,0.6,0.0,0.001
D716,0.37,0.333,0.152,0.154,0.963,0.901,0.218,0.107,0.089,0.092,0.396,0.181,0.113,0.6,0.993,0.906,0.404,0.811,0.007,0.005,0.7,0.001,0.003
D717,0.23,0.163,0.067,0.009,0.393,0.121,0.018,0.026,0.011,0.013,0.228,0.024,0.013,0.12,0.819,0.951,0.461,0.904,0.007,0.005,0.7,0.0,0.0
D718,0.282,0.166,0.072,0.079,0.831,0.65,0.038,0.035,0.014,0.015,0.249,0.028,0.013,0.181,0.918,0.957,0.478,0.872,0.007,0.004,0.6,0.001,0.002
D719,0.347,0.267,0.129,0.106,0.938,0.87,0.155,0.076,0.073,0.054,0.364,0.102,0.062,0.446,0.988,0.965,0.502,0.914,0.007,0.004,0.6,0.0,0.0
D72,0.367,0.266,0.144,0.106,0.916,0.788,0.139,0.093,0.069,0.087,0.397,0.173,0.084,0.606,0.976,0.973,0.581,0.915,0.03,0.021,0.7,0.001,0.003
D720,0.401,0.379,0.208,0.196,0.978,0.939,0.25,0.134,0.119,0.118,0.405,0.231,0.128,0.657,0.995,0.962,0.489,0.909,0.007,0.005,0.7,0.0,0.0
D721,0.224,0.045,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.331,0.0,0.0,0.281,0.689,0.991,0.771,0.935,0.015,0.013,0.85,0.0,0.0
D722,0.269,0.054,0.023,0.02,0.44,0.002,0.009,0.006,0.004,0.004,0.368,0.007,0.006,0.514,0.853,0.995,0.821,0.958,0.015,0.012,0.8,0.0,0.0
D723,0.39,0.167,0.087,0.054,0.953,0.88,0.151,0.06,0.059,0.062,0.436,0.124,0.056,0.919,0.988,0.995,0.822,0.948,0.015,0.012,0.8,0.0,0.0
D724,0.428,0.275,0.154,0.135,0.996,0.944,0.229,0.105,0.09,0.107,0.454,0.202,0.099,0.978,0.995,0.995,0.823,0.966,0.015,0.013,0.85,0.001,0.001
D725,0.261,0.044,0.022,0.0,0.002,0.0,0.0,0.0,0.0,0.004,0.385,0.009,0.0,0.675,0.918,0.996,0.846,0.964,0.015,0.013,0.85,0.0,0.0
D726,0.276,0.046,0.023,0.009,0.306,0.001,0.002,0.004,0.001,0.007,0.388,0.015,0.001,0.662,0.927,0.996,0.855,0.96,0.015,0.013,0.85,0.0,0.0
D727,0.393,0.148,0.078,0.12,0.991,0.937,0.097,0.054,0.059,0.047,0.43,0.101,0.051,0.894,0.986,0.995,0.804,0.968,0.015,0.013,0.85,0.0,0.001
D728,0.418,0.247,0.139,0.088,0.961,0.898,0.174,0.099,0.103,0.089,0.45,0.185,0.098,0.981,0.993,0.996,0.86,0.966,0.015,0.013,0.85,0.001,0.002
D729,0.232,0.117,0.017,0.001,0.153,0.0,0.0,0.0,0.0,0.001,0.336,0.003,0.0,0.257,0.777,0.984,0.701,0.922,0.015,0.012,0.8,0.0,0.0
D73,0.245,0.135,0.068,0.012,0.272,0.06,0.011,0.027,0.009,0.024,0.323,0.051,0.015,0.2,0.858,0.98,0.686,0.911,0.03,0.021,0.7,0.0,0.001
D730,0.318,0.126,0.024,0.015,0.869,0.671,0.014,0.007,0.007,0.01,0.376,0.022,0.004,0.483,0.932,0.984,0.707,0.922,0.015,0.012,0.8,0.0,0.0
D731,0.384,0.24,0.085,0.039,0.937,0.829,0.13,0.06,0.056,0.065,0.435,0.129,0.064,0.941,0.99,0.986,0.713,0.928,0.015,0.012,0.8,0.0,0.0
D732,0.423,0.356,0.158,0.105,0.996,0.932,0.221,0.11,0.119,0.101,0.447,0.207,0.11,0.969,0.994,0.987,0.734,0.925,0.015,0.012,0.8,0.0,0.0
D733,0.264,0.156,0.064,0.004,0.384,0.051,0.021,0.029,0.013,0.017,0.346,0.032,0.007,0.365,0.846,0.99,0.718,0.944,0.015,0.012,0.8,0.0,0.0
D734,0.321,0.169,0.071,0.012,0.781,0.533,0.035,0.035,0.025,0.025,0.376,0.049,0.013,0.518,0.945,0.988,0.705,0.948,0.015,0.012,0.8,0.0,0.0
D735,0.395,0.282,0.142,0.021,0.947,0.844,0.159,0.092,0.072,0.077,0.438,0.151,0.068,0.905,0.991,0.991,0.731,0.948,0.015,0.012,0.8,0.0,0.0
D736,0.421,0.366,0.203,0.041,0.968,0.89,0.222,0.134,0.115,0.1,0.45,0.203,0.114,0.96,0.994,0.991,0.746,0.947,0.015,0.012,0.8,0.0,0.001
D737,0.157,0.012,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.003,0.5,0.941,0.52,0.859,0.007,0.004,0.5,0.0,0.0
D738,0.269,0.027,0.013,0.159,0.811,0.675,0.044,0.008,0.007,0.007,0.287,0.013,0.01,0.107,0.919,0.937,0.518,0.853,0.007,0.004,0.5,0.0,0.0
D739,0.334,0.095,0.048,0.285,0.975,0.938,0.204,0.04,0.037,0.039,0.372,0.081,0.04,0.393,0.984,0.938,0.508,0.851,0.007,0.004,0.5,0.0,0.0
D74,0.3,0.178,0.092,0.023,0.642,0.382,0.035,0.06,0.027,0.037,0.341,0.072,0.024,0.331,0.92,0.979,0.69,0.909,0.03,0.024,0.8,0.0,0.0
D740,0.381,0.219,0.121,0.297,0.993,0.963,0.373,0.094,0.09,0.091,0.408,0.173,0.102,0.618,0.993,0.946,0.515,0.865,0.007,0.004,0.5,0.0,0.0
D741,0.164,0.01,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,0.004,0.739,0.922,0.389,0.869,0.007,0.004,0.5,0.0,0.001
D742,0.237,0.014,0.007,0.194,0.778,0.455,0.006,0.001,0.001,0.002,0.153,0.004,0.001,0.022,0.821,0.935,0.415,0.881,0.007,0.004,0.5,0.0,0.001
D743,0.322,0.098,0.051,0.261,0.926,0.866,0.158,0.043,0.054,0.041,0.358,0.08,0.039,0.374,0.981,0.935,0.407,0.886,0.007,0.004,0.5,0.001,0.003
D744,0.376,0.219,0.122,0.322,0.984,0.963,0.298,0.096,0.099,0.092,0.404,0.192,0.099,0.64,0.993,0.938,0.403,0.891,0.007,0.004,0.5,0.001,0.001
D745,0.133,0.033,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.004,0.508,0.85,0.363,0.758,0.007,0.002,0.3,0.0,0.0
D746,0.21,0.039,0.008,0.061,0.712,0.434,0.016,0.004,0.002,0.004,0.188,0.008,0.005,0.042,0.842,0.839,0.347,0.747,0.007,0.002,0.3,0.0,0.0
